Folder,VGG19 Accuracy,ResNet50 Accuracy,MobileNetV3 Accuracy,InceptionV3 Accuracy
"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",0.38,0.52,0.58,0.6
"ballpoint, ballpoint pen, ballpen, biro",0.46,0.5,0.5,0.62
consomme,0.5,0.44,0.56,0.58
"crayfish, crawfish, crawdad, crawdaddy",0.4,0.6,0.48,0.6
hatchet,0.44,0.5,0.48,0.66
mud turtle,0.48,0.46,0.58,0.56
packet,0.52,0.5,0.54,0.52
"shield, buckler",0.44,0.5,0.58,0.56
siberian husky,0.6,0.44,0.44,0.6
tusker,0.48,0.36,0.58,0.66
"bucket, pail",0.5,0.5,0.54,0.56
crate,0.54,0.48,0.5,0.58
honeycomb,0.4,0.48,0.58,0.64
"rubber eraser, rubber, pencil eraser",0.42,0.58,0.52,0.58
trombone,0.42,0.38,0.62,0.68
"violin, fiddle",0.5,0.34,0.56,0.7
black-and-tan coonhound,0.56,0.44,0.5,0.62
"cornet, horn, trumpet, trump",0.44,0.5,0.48,0.7
"passenger car, coach, carriage",0.4,0.54,0.56,0.62
"american chameleon, anole, anolis carolinensis",0.36,0.58,0.64,0.56
briard,0.52,0.54,0.52,0.56
coffee mug,0.42,0.58,0.58,0.56
irish wolfhound,0.44,0.54,0.6,0.56
stole,0.5,0.5,0.54,0.6
alligator lizard,0.48,0.48,0.58,0.62
analog clock,0.48,0.46,0.58,0.64
"binder, ring-binder",0.46,0.6,0.52,0.58
dumbbell,0.44,0.5,0.48,0.74
monastery,0.6,0.48,0.52,0.56
"pedestal, plinth, footstall",0.5,0.52,0.56,0.58
"american staffordshire terrier, staffordshire terrier, american pit bull terrier, pit bull terrier",0.54,0.48,0.54,0.62
"bell cote, bell cot",0.38,0.48,0.68,0.64
"meat loaf, meatloaf",0.44,0.54,0.6,0.6
"quilt, comforter, comfort, puff",0.5,0.54,0.58,0.56
shopping basket,0.52,0.52,0.48,0.66
"thresher, thrasher, threshing machine",0.54,0.54,0.6,0.5
vestment,0.5,0.48,0.62,0.58
"wallet, billfold, notecase, pocketbook",0.48,0.52,0.6,0.58
cricket,0.52,0.62,0.52,0.54
"dock, dockage, docking facility",0.52,0.62,0.5,0.56
"grocery store, grocery, food market, market",0.46,0.44,0.64,0.66
magnetic compass,0.58,0.5,0.54,0.58
"microwave, microwave oven",0.42,0.56,0.6,0.62
neck brace,0.5,0.48,0.54,0.68
petri dish,0.52,0.46,0.58,0.64
entlebucher,0.54,0.44,0.46,0.78
alp,0.58,0.5,0.62,0.52
"lakeside, lakeshore",0.6,0.54,0.54,0.54
library,0.46,0.5,0.58,0.68
red wine,0.56,0.52,0.52,0.62
strainer,0.4,0.6,0.58,0.64
toy terrier,0.5,0.52,0.58,0.62
"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.46,0.52,0.56,0.7
"patio, terrace",0.54,0.56,0.54,0.6
sleeping bag,0.48,0.54,0.58,0.64
sombrero,0.46,0.58,0.56,0.64
sundial,0.46,0.48,0.6,0.7
paper towel,0.4,0.5,0.62,0.74
"ice cream, icecream",0.46,0.64,0.6,0.56
soap dispenser,0.42,0.62,0.54,0.68
"confectionery, confectionary, candy store",0.58,0.54,0.54,0.62
isopod,0.5,0.5,0.54,0.74
"leatherback turtle, leatherback, leathery turtle, dermochelys coriacea",0.48,0.54,0.6,0.66
desktop computer,0.58,0.58,0.68,0.46
kelpie,0.52,0.52,0.56,0.7
"lhasa, lhasa apso",0.46,0.54,0.58,0.72
moped,0.38,0.54,0.66,0.72
"book jacket, dust cover, dust jacket, dust wrapper",0.54,0.52,0.6,0.64
digital watch,0.58,0.56,0.54,0.62
"television, television system",0.46,0.56,0.64,0.64
french loaf,0.5,0.52,0.66,0.64
great dane,0.5,0.48,0.64,0.7
"hog, pig, grunter, squealer, sus scrofa",0.54,0.52,0.58,0.68
"kit fox, vulpes macrotis",0.4,0.62,0.6,0.7
space heater,0.54,0.62,0.56,0.6
"tow truck, tow car, wrecker",0.52,0.56,0.58,0.66
cowboy boot,0.44,0.58,0.58,0.74
"switch, electric switch, electrical switch",0.6,0.62,0.54,0.58
wooden spoon,0.42,0.54,0.62,0.76
digital clock,0.46,0.6,0.6,0.68
"indian elephant, elephas maximus",0.46,0.56,0.64,0.68
lotion,0.54,0.58,0.58,0.64
"ram, tup",0.44,0.68,0.6,0.62
"black-footed ferret, ferret, mustela nigripes",0.5,0.56,0.64,0.66
bottlecap,0.52,0.54,0.62,0.68
