Folder,VGG19 Accuracy,ResNet50 Accuracy,MobileNetV3 Accuracy,InceptionV3 Accuracy
bull mastiff,0.64,0.72,0.84,0.8
"dining table, board",0.74,0.72,0.74,0.8
labrador retriever,0.64,0.68,0.78,0.9
"madagascar cat, ring-tailed lemur, lemur catta",0.78,0.76,0.68,0.78
park bench,0.7,0.76,0.76,0.78
"pay-phone, pay-station",0.66,0.76,0.78,0.8
"timber wolf, grey wolf, gray wolf, canis lupus",0.72,0.72,0.78,0.78
"tub, vat",0.6,0.76,0.8,0.84
"washer, automatic washer, washing machine",0.7,0.68,0.82,0.8
japanese spaniel,0.78,0.66,0.78,0.8
"limousine, limo",0.76,0.72,0.78,0.76
mortar,0.68,0.76,0.74,0.84
pill bottle,0.68,0.78,0.72,0.84
snail,0.72,0.7,0.8,0.8
"tricycle, trike, velocipede",0.78,0.64,0.72,0.88
chainlink fence,0.58,0.82,0.8,0.82
ipod,0.7,0.7,0.8,0.82
loafer,0.66,0.7,0.8,0.86
"malamute, malemute, alaskan malamute",0.68,0.74,0.74,0.86
shoji,0.66,0.68,0.8,0.88
"barrel, cask",0.74,0.72,0.78,0.78
"king snake, kingsnake",0.66,0.82,0.8,0.74
"corkscrew, bottle screw",0.6,0.72,0.82,0.9
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.64,0.86,0.72,0.82
"puffer, pufferfish, blowfish, globefish",0.68,0.74,0.76,0.86
"refrigerator, icebox",0.64,0.78,0.8,0.82
brabancon griffon,0.74,0.66,0.76,0.88
fly,0.7,0.72,0.74,0.88
"handkerchief, hankie, hanky, hankey",0.68,0.72,0.8,0.84
pillow,0.72,0.8,0.76,0.76
"shoe shop, shoe-shop, shoe store",0.68,0.68,0.8,0.88
"vizsla, hungarian pointer",0.72,0.82,0.7,0.8
"beacon, lighthouse, beacon light, pharos",0.76,0.8,0.7,0.8
crane,0.74,0.74,0.82,0.76
"feather boa, boa",0.7,0.74,0.82,0.8
minibus,0.74,0.74,0.74,0.84
"pizza, pizza pie",0.74,0.74,0.82,0.76
shopping cart,0.72,0.74,0.76,0.84
"spotted salamander, ambystoma maculatum",0.66,0.72,0.8,0.88
"tank, army tank, armored combat vehicle, armoured combat vehicle",0.74,0.74,0.74,0.84
turnstile,0.72,0.78,0.76,0.8
brittany spaniel,0.68,0.8,0.72,0.86
"irish setter, red setter",0.74,0.78,0.72,0.82
viaduct,0.76,0.74,0.7,0.86
sewing machine,0.8,0.8,0.68,0.78
bassoon,0.68,0.76,0.78,0.86
"frilled lizard, chlamydosaurus kingi",0.74,0.68,0.82,0.84
"greenhouse, nursery, glasshouse",0.76,0.72,0.78,0.82
"harvestman, daddy longlegs, phalangium opilio",0.66,0.7,0.86,0.86
"scottish deerhound, deerhound",0.74,0.74,0.78,0.82
"hen-of-the-woods, hen of the woods, polyporus frondosus, grifola frondosa",0.78,0.66,0.84,0.8
"bicycle-built-for-two, tandem bicycle, tandem",0.68,0.74,0.8,0.88
border terrier,0.64,0.74,0.84,0.88
"harvester, reaper",0.7,0.72,0.86,0.82
"hotdog, hot dog, red hot",0.68,0.78,0.82,0.82
kerry blue terrier,0.78,0.74,0.74,0.84
mixing bowl,0.72,0.72,0.82,0.84
"panpipe, pandean pipe, syrinx",0.7,0.76,0.8,0.84
ping-pong ball,0.74,0.76,0.76,0.84
"police van, police wagon, paddy wagon, patrol wagon, wagon, black maria",0.7,0.78,0.82,0.8
rain barrel,0.7,0.74,0.84,0.82
sea lion,0.76,0.72,0.82,0.8
"seat belt, seatbelt",0.64,0.78,0.86,0.82
tractor,0.66,0.76,0.8,0.88
"leopard, panthera pardus",0.74,0.76,0.78,0.82
agama,0.72,0.76,0.82,0.82
"american alligator, alligator mississipiensis",0.66,0.8,0.84,0.82
bubble,0.76,0.78,0.76,0.82
french bulldog,0.66,0.78,0.82,0.86
guacamole,0.7,0.74,0.82,0.86
"organ, pipe organ",0.72,0.76,0.78,0.86
abaya,0.72,0.8,0.82,0.78
"butcher shop, meat market",0.8,0.76,0.82,0.74
"jersey, t-shirt, tee shirt",0.74,0.74,0.84,0.8
"pirate, pirate ship",0.8,0.78,0.78,0.76
slug,0.74,0.78,0.8,0.8
"teddy, teddy bear",0.7,0.78,0.76,0.88
"traffic light, traffic signal, stoplight",0.7,0.74,0.8,0.88
"valley, vale",0.72,0.82,0.8,0.78
"washbasin, handbasin, washbowl, lavabo, wash-hand basin",0.74,0.82,0.82,0.74
acorn squash,0.68,0.8,0.84,0.82
coral reef,0.78,0.82,0.78,0.76
schipperke,0.76,0.7,0.84,0.84
"sealyham terrier, sealyham",0.72,0.7,0.84,0.88
"ringneck snake, ring-necked snake, ring snake",0.72,0.8,0.8,0.82
"electric fan, blower",0.64,0.78,0.86,0.88
"file, file cabinet, filing cabinet",0.68,0.8,0.84,0.84
"lacewing, lacewing fly",0.74,0.8,0.8,0.82
"little blue heron, egretta caerulea",0.7,0.72,0.82,0.92
sea urchin,0.7,0.82,0.82,0.82
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",0.72,0.78,0.82,0.84
"water buffalo, water ox, asiatic buffalo, bubalus bubalis",0.72,0.74,0.82,0.88
abacus,0.76,0.82,0.78,0.8
brain coral,0.68,0.66,0.9,0.92
"lab coat, laboratory coat",0.82,0.74,0.82,0.78
"submarine, pigboat, sub, u-boat",0.8,0.74,0.78,0.84
"artichoke, globe artichoke",0.74,0.78,0.86,0.8
"brambling, fringilla montifringilla",0.78,0.78,0.78,0.84
"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, atm",0.76,0.76,0.84,0.82
"fox squirrel, eastern fox squirrel, sciurus niger",0.76,0.74,0.84,0.84
guillotine,0.7,0.68,0.9,0.9
"horse cart, horse-cart",0.76,0.78,0.8,0.84
pomegranate,0.78,0.76,0.86,0.78
schooner,0.76,0.8,0.78,0.84
snorkel,0.74,0.76,0.84,0.84
spindle,0.58,0.82,0.84,0.94
"theater curtain, theatre curtain",0.78,0.72,0.8,0.88
"upright, upright piano",0.74,0.8,0.82,0.82
vault,0.74,0.7,0.84,0.9
"axolotl, mud puppy, ambystoma mexicanum",0.78,0.74,0.8,0.86
"squirrel monkey, saimiri sciureus",0.8,0.82,0.74,0.82
lemon,0.78,0.82,0.8,0.78
carbonara,0.72,0.74,0.86,0.88
"chain saw, chainsaw",0.72,0.84,0.78,0.86
chesapeake bay retriever,0.7,0.84,0.82,0.84
gordon setter,0.78,0.82,0.74,0.86
"jeep, landrover",0.8,0.76,0.78,0.86
"ocarina, sweet potato",0.72,0.8,0.82,0.86
"pembroke, pembroke welsh corgi",0.7,0.74,0.84,0.92
"tree frog, tree-frog",0.78,0.74,0.78,0.9
warthog,0.72,0.7,0.84,0.94
banana,0.7,0.84,0.8,0.88
"black and gold garden spider, argiope aurantia",0.84,0.74,0.76,0.88
"box turtle, box tortoise",0.78,0.78,0.82,0.84
"disk brake, disc brake",0.76,0.72,0.88,0.86
hermit crab,0.74,0.76,0.82,0.9
irish water spaniel,0.78,0.78,0.84,0.82
menu,0.72,0.76,0.84,0.9
"china cabinet, china closet",0.72,0.84,0.8,0.86
"mailbox, letter box",0.78,0.8,0.78,0.86
barometer,0.82,0.72,0.84,0.86
bulbul,0.78,0.74,0.82,0.9
castle,0.82,0.78,0.78,0.86
"chambered nautilus, pearly nautilus, nautilus",0.76,0.76,0.82,0.9
fig,0.72,0.82,0.86,0.84
"gorilla, gorilla gorilla",0.76,0.8,0.84,0.84
head cabbage,0.7,0.78,0.88,0.88
"iron, smoothing iron",0.74,0.76,0.82,0.92
kimono,0.78,0.8,0.84,0.82
llama,0.76,0.76,0.82,0.9
"mountain bike, all-terrain bike, off-roader",0.78,0.74,0.88,0.84
rhinoceros beetle,0.74,0.78,0.82,0.9
"white wolf, arctic wolf, canis lupus tundrarum",0.82,0.76,0.84,0.82
croquet ball,0.74,0.84,0.78,0.88
"afghan hound, afghan",0.76,0.8,0.82,0.88
"boston bull, boston terrier",0.82,0.76,0.82,0.86
"coho, cohoe, coho salmon, blue jack, silver salmon, oncorhynchus kisutch",0.7,0.8,0.84,0.92
"dandie dinmont, dandie dinmont terrier",0.7,0.82,0.86,0.88
drake,0.8,0.8,0.78,0.88
"garden spider, aranea diademata",0.8,0.82,0.82,0.82
golf ball,0.76,0.76,0.88,0.86
"guenon, guenon monkey",0.78,0.74,0.88,0.86
"howler monkey, howler",0.8,0.82,0.82,0.82
"king crab, alaska crab, alaskan king crab, alaska king crab, paralithodes camtschatica",0.78,0.82,0.88,0.78
"megalith, megalithic structure",0.74,0.8,0.86,0.86
obelisk,0.72,0.8,0.88,0.86
rottweiler,0.72,0.78,0.88,0.88
safe,0.82,0.76,0.82,0.86
standard poodle,0.74,0.76,0.84,0.92
"wallaby, brush kangaroo",0.76,0.78,0.82,0.9
"water ouzel, dipper",0.84,0.8,0.78,0.84
weevil,0.76,0.82,0.86,0.82
wig,0.76,0.82,0.84,0.84
"recreational vehicle, rv, r.v.",0.82,0.78,0.8,0.86
"accordion, piano accordion, squeeze box",0.76,0.82,0.8,0.9
banjo,0.76,0.8,0.82,0.9
"black widow, latrodectus mactans",0.82,0.76,0.82,0.88
bluetick,0.78,0.82,0.78,0.9
"cicada, cicala",0.76,0.76,0.86,0.9
"crossword puzzle, crossword",0.72,0.8,0.86,0.9
"garter snake, grass snake",0.72,0.84,0.8,0.92
"gas pump, gasoline pump, petrol pump, island dispenser",0.76,0.86,0.78,0.88
hen,0.84,0.8,0.8,0.84
"pool table, billiard table, snooker table",0.78,0.88,0.82,0.8
"airship, dirigible",0.72,0.8,0.88,0.9
bittern,0.8,0.84,0.78,0.88
coucal,0.76,0.84,0.82,0.88
"dugong, dugong dugon",0.8,0.76,0.84,0.9
fur coat,0.68,0.86,0.88,0.88
jigsaw puzzle,0.74,0.76,0.86,0.94
"piggy bank, penny bank",0.72,0.84,0.84,0.9
speedboat,0.8,0.74,0.88,0.88
vulture,0.8,0.76,0.9,0.84
wreck,0.78,0.82,0.86,0.84
"aircraft carrier, carrier, flattop, attack aircraft carrier",0.82,0.76,0.88,0.86
cauliflower,0.72,0.84,0.86,0.9
"chiton, coat-of-mail shell, sea cradle, polyplacophore",0.76,0.86,0.84,0.86
"lawn mower, mower",0.78,0.82,0.82,0.9
"orangutan, orang, orangutang, pongo pygmaeus",0.8,0.82,0.82,0.88
papillon,0.74,0.76,0.86,0.96
"plane, carpenter's plane, woodworking plane",0.76,0.78,0.88,0.9
"polaroid camera, polaroid land camera",0.78,0.8,0.88,0.86
ptarmigan,0.74,0.86,0.84,0.88
tennis ball,0.72,0.82,0.9,0.88
bell pepper,0.86,0.82,0.8,0.86
"fire engine, fire truck",0.8,0.86,0.86,0.82
"goldfish, carassius auratus",0.78,0.8,0.84,0.92
hare,0.74,0.86,0.86,0.88
magpie,0.8,0.8,0.82,0.92
"meerkat, mierkat",0.8,0.8,0.82,0.92
"norwegian elkhound, elkhound",0.74,0.84,0.86,0.9
rugby ball,0.74,0.8,0.88,0.92
"three-toed sloth, ai, bradypus tridactylus",0.74,0.8,0.84,0.96
"pineapple, ananas",0.76,0.84,0.8,0.94
anemone fish,0.7,0.8,0.9,0.96
"chow, chow chow",0.78,0.84,0.86,0.88
"dial telephone, dial phone",0.74,0.8,0.88,0.94
keeshond,0.76,0.78,0.88,0.94
"ringlet, ringlet butterfly",0.82,0.84,0.86,0.84
rotisserie,0.76,0.84,0.88,0.88
steel drum,0.82,0.8,0.8,0.94
"swab, swob, mop",0.78,0.86,0.86,0.86
west highland white terrier,0.8,0.82,0.86,0.88
basketball,0.72,0.86,0.88,0.92
"motor scooter, scooter",0.82,0.8,0.86,0.9
"nematode, nematode worm, roundworm",0.76,0.84,0.92,0.86
scuba diver,0.78,0.82,0.92,0.86
basenji,0.78,0.86,0.8,0.94
agaric,0.86,0.82,0.86,0.86
"american egret, great white heron, egretta albus",0.82,0.8,0.88,0.9
black grouse,0.8,0.86,0.84,0.9
cannon,0.8,0.82,0.86,0.92
"clumber, clumber spaniel",0.78,0.82,0.88,0.92
"colobus, colobus monkey",0.82,0.86,0.86,0.86
crash helmet,0.86,0.84,0.84,0.86
dung beetle,0.82,0.82,0.9,0.86
electric locomotive,0.88,0.78,0.9,0.84
"hyena, hyaena",0.84,0.76,0.88,0.92
jellyfish,0.74,0.88,0.88,0.9
"komodo dragon, komodo lizard, dragon lizard, giant lizard, varanus komodoensis",0.72,0.84,0.88,0.96
"porcupine, hedgehog",0.78,0.84,0.9,0.88
"sulphur-crested cockatoo, kakatoe galerita, cacatua galerita",0.8,0.82,0.88,0.9
armadillo,0.82,0.86,0.86,0.88
birdhouse,0.84,0.8,0.88,0.9
four-poster,0.84,0.84,0.84,0.9
parking meter,0.8,0.84,0.86,0.92
"pot, flowerpot",0.76,0.88,0.92,0.86
"red-breasted merganser, mergus serrator",0.84,0.82,0.88,0.88
"revolver, six-gun, six-shooter",0.78,0.8,0.88,0.96
"american black bear, black bear, ursus americanus, euarctos americanus",0.88,0.86,0.88,0.82
badger,0.76,0.9,0.84,0.94
"basset, basset hound",0.82,0.86,0.86,0.9
"bolo tie, bolo, bola tie, bola",0.84,0.8,0.9,0.9
"great white shark, white shark, man-eater, man-eating shark, carcharodon carcharias",0.82,0.88,0.86,0.88
"grey whale, gray whale, devilfish, eschrichtius gibbosus, eschrichtius robustus",0.78,0.88,0.86,0.92
hornbill,0.8,0.82,0.88,0.94
marmot,0.8,0.82,0.88,0.94
mexican hairless,0.84,0.8,0.88,0.92
mountain tent,0.78,0.84,0.92,0.9
peacock,0.76,0.88,0.88,0.92
scoreboard,0.86,0.88,0.88,0.82
triceratops,0.86,0.84,0.86,0.88
airliner,0.74,0.88,0.88,0.96
"bobsled, bobsleigh, bob",0.82,0.82,0.88,0.94
football helmet,0.8,0.84,0.9,0.92
fountain,0.84,0.88,0.88,0.86
"hippopotamus, hippo, river horse, hippopotamus amphibius",0.84,0.84,0.9,0.88
"ice bear, polar bear, ursus maritimus, thalarctos maritimus",0.84,0.86,0.84,0.92
"indri, indris, indri indri, indri brevicaudatus",0.8,0.82,0.9,0.94
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",0.86,0.86,0.9,0.84
mosquito net,0.9,0.76,0.86,0.94
pelican,0.8,0.84,0.88,0.94
"sea slug, nudibranch",0.78,0.9,0.9,0.88
toucan,0.86,0.88,0.82,0.9
"american coot, marsh hen, mud hen, water hen, fulica americana",0.84,0.86,0.9,0.88
"apiary, bee house",0.86,0.84,0.88,0.9
"dishrag, dishcloth",0.78,0.84,0.94,0.92
go-kart,0.82,0.82,0.88,0.96
"starfish, sea star",0.8,0.86,0.9,0.92
"stinkhorn, carrion fungus",0.78,0.9,0.92,0.88
"streetcar, tram, tramcar, trolley, trolley car",0.86,0.86,0.86,0.9
"container ship, containership, container vessel",0.84,0.82,0.94,0.9
"albatross, mollymawk",0.84,0.88,0.84,0.94
harp,0.78,0.92,0.88,0.92
jay,0.82,0.86,0.88,0.94
potter's wheel,0.82,0.82,0.94,0.92
"prairie chicken, prairie grouse, prairie fowl",0.84,0.86,0.9,0.9
"stupa, tope",0.84,0.86,0.88,0.92
"tench, tinca tinca",0.9,0.82,0.88,0.9
tiger beetle,0.86,0.86,0.86,0.92
"buckeye, horse chestnut, conker",0.86,0.84,0.9,0.92
christmas stocking,0.84,0.84,0.86,0.98
"cougar, puma, catamount, mountain lion, painter, panther, felis concolor",0.86,0.9,0.88,0.88
"dhole, cuon alpinus",0.84,0.88,0.9,0.9
"ibex, capra ibex",0.86,0.82,0.88,0.96
leafhopper,0.88,0.86,0.88,0.9
"ruffed grouse, partridge, bonasa umbellus",0.86,0.84,0.9,0.92
"white stork, ciconia ciconia",0.86,0.88,0.9,0.88
komondor,0.88,0.86,0.94,0.86
"lycaenid, lycaenid butterfly",0.82,0.94,0.9,0.88
bedlington terrier,0.86,0.88,0.88,0.92
blenheim spaniel,0.9,0.84,0.88,0.92
cliff dwelling,0.84,0.84,0.94,0.92
"indigo bunting, indigo finch, indigo bird, passerina cyanea",0.84,0.86,0.92,0.92
"koala, koala bear, kangaroo bear, native bear, phascolarctos cinereus",0.82,0.88,0.9,0.94
"oystercatcher, oyster catcher",0.88,0.86,0.86,0.94
planetarium,0.88,0.84,0.88,0.94
snowmobile,0.86,0.88,0.88,0.92
space shuttle,0.8,0.9,0.88,0.96
"trolleybus, trolley coach, trackless trolley",0.84,0.78,0.92,1
weimaraner,0.86,0.88,0.88,0.92
welsh springer spaniel,0.88,0.92,0.84,0.9
"thatch, thatched roof",0.86,0.84,0.94,0.92
"arctic fox, white fox, alopex lagopus",0.84,0.88,0.88,0.96
balloon,0.86,0.88,0.9,0.92
granny smith,0.88,0.86,0.9,0.92
"house finch, linnet, carpodacus mexicanus",0.84,0.88,0.88,0.96
"king penguin, aptenodytes patagonica",0.88,0.86,0.9,0.92
malinois,0.84,0.88,0.9,0.94
mosque,0.9,0.82,0.9,0.94
"puck, hockey puck",0.86,0.88,0.9,0.92
quail,0.82,0.92,0.9,0.92
"redshank, tringa totanus",0.86,0.92,0.86,0.92
"skunk, polecat, wood pussy",0.86,0.84,0.9,0.96
"brass, memorial tablet, plaque",0.86,0.86,0.92,0.94
cabbage butterfly,0.84,0.92,0.9,0.92
dowitcher,0.88,0.9,0.9,0.9
"garbage truck, dustcart",0.86,0.8,0.96,0.96
"giant panda, panda, panda bear, coon bear, ailuropoda melanoleuca",0.84,0.86,0.92,0.96
"goldfinch, carduelis carduelis",0.86,0.9,0.94,0.88
"liner, ocean liner",0.88,0.86,0.92,0.92
"pug, pug-dog",0.78,0.92,0.96,0.92
"balance beam, beam",0.9,0.86,0.92,0.92
broccoli,0.86,0.92,0.9,0.92
"drilling platform, offshore rig",0.86,0.9,0.94,0.9
"english springer, english springer spaniel",0.9,0.92,0.9,0.88
"jinrikisha, ricksha, rickshaw",0.9,0.86,0.9,0.94
"marimba, xylophone",0.84,0.88,0.9,0.98
model t,0.86,0.86,0.9,0.98
school bus,0.88,0.9,0.88,0.94
tarantula,0.86,0.9,0.88,0.96
"angora, angora rabbit",0.92,0.86,0.9,0.94
"brown bear, bruin, ursus arctos",0.9,0.88,0.92,0.92
car mirror,0.9,0.92,0.86,0.94
jacamar,0.88,0.9,0.92,0.92
macaw,0.86,0.88,0.92,0.96
necklace,0.88,0.9,0.92,0.92
"radio telescope, radio reflector",0.92,0.86,0.92,0.92
screw,0.88,0.9,0.92,0.92
"snowplow, snowplough",0.92,0.86,0.92,0.92
"tiger, panthera tigris",0.88,0.88,0.9,0.96
bee eater,0.88,0.86,0.94,0.96
cheeseburger,0.86,0.86,0.96,0.96
"saint bernard, st bernard",0.86,0.92,0.94,0.92
"snow leopard, ounce, panthera uncia",0.88,0.94,0.9,0.92
water tower,0.9,0.94,0.88,0.92
"monarch, monarch butterfly, milkweed butterfly, danaus plexippus",0.88,0.9,0.92,0.94
"rock beauty, holocanthus tricolor",0.9,0.9,0.92,0.92
soccer ball,0.86,0.92,0.9,0.96
"sulphur butterfly, sulfur butterfly",0.88,0.88,0.92,0.96
trifle,0.84,0.9,0.96,0.94
persian cat,0.84,0.94,0.94,0.94
"picket fence, paling",0.86,0.94,0.92,0.94
"siamese cat, siamese",0.88,0.94,0.92,0.92
"dogsled, dog sled, dog sleigh",0.92,0.9,0.92,0.92
hartebeest,0.86,0.92,0.92,0.96
"paddlewheel, paddle wheel",0.88,0.9,0.9,0.98
totem pole,0.92,0.88,0.92,0.94
bustard,0.88,0.94,0.9,0.96
"killer whale, killer, orca, grampus, sea wolf, orcinus orca",0.86,0.94,0.92,0.96
lionfish,0.9,0.94,0.88,0.96
"parachute, chute",0.94,0.88,0.92,0.94
steam locomotive,0.86,0.94,0.96,0.92
acorn,0.9,0.9,0.92,0.96
baboon,0.9,0.92,0.9,0.96
"bearskin, busby, shako",0.9,0.92,0.9,0.96
"lion, king of beasts, panthera leo",0.92,0.86,0.96,0.94
trilobite,0.9,0.86,0.96,0.98
vending machine,0.88,0.92,0.96,0.94
"african grey, african gray, psittacus erithacus",0.92,0.92,0.92,0.94
bison,0.92,0.92,0.94,0.92
entertainment center,0.88,0.92,0.94,0.96
ambulance,0.9,0.9,0.96,0.96
barn,0.92,0.9,0.94,0.96
"cheetah, chetah, acinonyx jubatus",0.92,0.96,0.88,0.96
"dalmatian, coach dog, carriage dog",0.94,0.92,0.92,0.94
hummingbird,0.92,0.94,0.92,0.94
manhole cover,0.92,0.94,0.94,0.92
"robin, american robin, turdus migratorius",0.9,0.96,0.92,0.94
triumphal arch,0.94,0.92,0.94,0.92
"bullet train, bullet",0.88,0.92,0.94,0.98
hourglass,0.9,0.9,0.94,0.98
photocopier,0.92,0.9,0.96,0.94
"samoyed, samoyede",0.92,0.92,0.94,0.94
cardoon,0.94,0.92,0.94,0.94
"oscilloscope, scope, cathode-ray oscilloscope, cro",0.94,0.9,0.94,0.96
gondola,0.92,0.92,0.92,0.98
lifeboat,0.92,0.92,0.94,0.96
"arabian camel, dromedary, camelus dromedarius",0.9,0.94,0.94,0.98
chickadee,0.86,0.94,0.98,0.98
"european fire salamander, salamandra salamandra",0.92,0.94,0.96,0.94
"european gallinule, porphyrio porphyrio",0.96,0.9,0.96,0.94
sorrel,0.9,0.96,0.94,0.96
yurt,0.9,0.92,0.98,0.96
zebra,0.94,0.94,0.92,0.96
bernese mountain dog,0.92,0.96,0.94,0.96
fireboat,0.94,0.96,0.92,0.96
pomeranian,0.94,0.94,0.96,0.94
admiral,0.94,0.94,0.96,0.96
"borzoi, russian wolfhound",0.88,0.98,0.96,0.98
coral fungus,0.94,0.96,0.96,0.94
rapeseed,0.9,0.96,0.96,0.98
"slot, one-armed bandit",0.94,0.92,0.94,1
canoe,0.92,0.92,0.98,0.98
"african hunting dog, hyena dog, cape hunting dog, lycaon pictus",0.94,0.94,0.96,0.98
gyromitra,0.94,0.94,0.96,0.98
maypole,0.94,0.9,0.98,1
"bald eagle, american eagle, haliaeetus leucocephalus",0.94,0.94,0.98,0.98
"black swan, cygnus atratus",0.96,0.94,0.96,0.98
"echidna, spiny anteater, anteater",0.9,0.98,0.98,0.98
freight car,0.94,0.94,0.96,1
"limpkin, aramus pictus",0.94,0.96,0.96,0.98
"web site, website, internet site, site",0.94,0.98,0.96,0.96
flamingo,0.9,0.98,1,0.98
geyser,0.92,0.98,0.96,1
hamster,0.94,0.98,0.98,0.96
"hip, rose hip, rosehip",0.94,0.96,1,0.96
jack-o'-lantern,0.96,0.94,0.98,0.98
lorikeet,0.94,0.98,0.96,0.98
"odometer, hodometer, mileometer, milometer",0.96,0.96,0.96,0.98
"ruddy turnstone, arenaria interpres",0.96,0.96,0.98,0.96
daisy,0.98,0.98,0.96,0.96
"junco, snowbird",0.94,0.96,0.98,1
earthstar,0.96,0.98,1,0.98
"lesser panda, red panda, panda, bear cat, cat bear, ailurus fulgens",0.98,0.98,0.98,0.98
"ostrich, struthio camelus",0.98,0.98,0.98,0.98
leonberg,0.96,0.98,1,1
spoonbill,0.98,0.98,0.98,1
"proboscis monkey, nasalis larvatus",1,0.96,1,1
"yellow lady's slipper, yellow lady-slipper, cypripedium calceolus, cypripedium parviflorum",1,0.98,1,1
